Keyword,Volume,CPC,Competition,Score,Intent
3 minute short stories for adults,40,2.78,0.01,,informational
all stories in english,35,,0,15,informational
short stories for teenagers with moral lesson pdf,35,2.35,0.01,44,informational
urdu stories for elders,35,,0,1,informational
urdu stories love,32,,0,0,informational
best short story in the world,30,0.02,0.16,20,informational
short story videos for adults,30,0.32,0.05,,informational
urdu stories for elders pdf,30,,0,42,informational
5 minute short stories for adults with moral,30,,0.01,,informational
short stories name,28,,0,50,informational
famous english short stories pdf,26,2.01,0.01,0,informational
short stories to read in english,22,0.01,0.03,13,informational
short stories for teenagers in english,22,0.21,0.05,46,informational
story in english with author name,20,,0,46,informational
romance stories for teenagers,20,,0,,informational
stories in english to read pdf,20,0.69,0.03,0,informational
best stories to read online free,20,5.89,0.11,,informational
best short stories for teens,20,0.3,0.33,51,informational
urdu short stories romantic,20,,0,,informational
new stories in urdu pdf,20,,0,,informational
5 minute short stories for adults with pictures,20,0.01,0.04,,informational
stories video,19,0.36,0.01,12,informational
urdu stories in hindi,18,,0,0,informational
short romance stories online free,18,,0.14,12,informational
short stories to read for adults,15,,0.04,,informational
short stories for 13 year olds,15,,0.06,52,informational
stories video download,10,,0,6,transactional
short stories in urdu with moral,10,,0,4,informational
short stories in urdu pdf,10,,0,42,navigational
short stories for adults pdf,10,,0.02,,informational
short romantic bedtime stories,10,,0,7,informational
best short stories online,10,,0.01,56,informational
stories for teenagers to read,10,,0,50,informational
free stories for teenagers,10,,0,,informational
stories in english for students pdf,10,3.93,0.02,2,informational
short stories in english for students with questions,10,,0,,informational
stories in english pdf free download,10,,,58,informational
best stories in english pdf,10,,0,,informational
stories in english to read with moral,10,,0,,informational
classic bedtime stories to read online free,10,,,,informational
bedtime stories to read online free 5 minutes,10,0.02,0.05,,transactional
bible bedtime stories to read online free,10,,0.14,,informational
bedtime stories to read online free audio,10,,0,,informational
stories to read online for adults,10,1.31,0.14,,informational
stories to read in english pdf,10,,0.02,0,informational
english stories video,8,1.72,0,17,informational
short stories in english writing,8,12.3,0,30,informational
short stories in english with moral,7,1.51,0.01,11,informational
bedtime stories video,7,,0,58,informational
english stories video download,7,,0,,transactional
english short stories video,6,,0,64,informational
stories short in english,5,4.47,0.02,22,informational
stories in english short,4,3.52,0.01,46,informational
all story,4,,0,43,informational
stories in urdu,3,,0,0,informational
stories in urdu with moral,3,,0,0,informational
short stories video,3,1.16,0.02,12,informational
stories in urdu pdf,3,0.39,0,0,informational
stories in english pdf,2,2.37,0.03,0,informational
stories to read in english,2,2.56,0.05,31,informational
stories in english with moral for students,2,2.22,0.01,18,informational
short stories to read online free,2,1.67,0.08,47,informational
best stories short,1,0.22,0.06,14,informational
romance stories short,1,0.35,0.02,0,informational
short stories to read online,1,1.78,0.04,54,informational
books,129325,2.51,0.03,71,informational
online notepad,105588,0.26,0,49,informational
open library,56652,1.36,0.01,31,informational
books to read,40610,0.75,0.51,11,informational
bookchor,19615,0.01,0.26,29,informational
story books,13303,0.41,0.5,17,informational
notes online,13127,0.33,0.06,56,informational
best novels to read,10305,0.06,0.77,28,informational
romance novels to read,9900,0.04,0.39,6,informational
novels to read,9128,1.06,0.25,40,informational
download any book for free pdf,5053,1.46,0.05,43,transactional
ebooks free,4709,1.64,0.07,100,informational
best books to read in life,4582,0.13,0.89,17,informational
free ebooks,4329,1.5,0.02,93,informational
books online,3866,0.36,0.8,57,informational
best novels to read in english,3270,0.11,0.76,28,informational
free books online pdf,3061,2.84,0.05,67,informational
books dp,2900,,0,4,informational
books to read for teens,2858,0.06,0.39,6,informational
books to read online,2798,3.78,0.09,74,informational
famous novels,2794,0.02,0.05,40,informational
story books for adults,2400,0.06,0.83,0,informational
famous english stories pdf,2374,2.01,0.01,7,informational
story books to read,2335,1.16,0.19,25,informational
google books free,1839,1.15,0.01,60,informational
famous english novels,1837,0.08,0.15,43,informational
famous novels in english for students,1600,0.55,0.07,0,informational
best novels to read to improve english pdf,1600,2.38,0.04,0,informational
bedtime stories to read online free,1598,0.17,0.12,36,informational
novels to read in english,1597,0.75,0.3,6,informational
novels to read online,1593,1.94,0.1,33,informational
books dp for whatsapp,1286,,0,0,navigational
story books to read online,1257,1.16,0.19,66,informational
online book shopping app,1221,0.13,0.59,4,transactional
buy books online india cheap,1191,0.07,0.93,56,transactional
read free books online without downloading,1040,1.84,0.04,71,informational
where to sell used books online in india,1000,0.23,0.05,9,transactional
50 great short stories pdf free download,1000,,0,10,informational
top 10 best books of all time,991,0.03,0.14,25,informational
story books english,912,0.86,0.19,2,informational
story books to read online free,880,1.45,0.11,66,informational
most life-changing books to read,878,0.02,0.67,4,informational
best books to read for teens,866,0.02,0.36,2,informational
books to read for free,756,2.75,0.08,69,informational
books online buy in india,720,0.14,0.89,0,transactional
cheap notebooks 400 pages,720,0.01,0.97,0,transactional
handwriting notepad online,720,0.51,0.03,46,informational
books online free,719,1.88,0.06,81,informational
google play books for pc,707,0.38,0.02,40,transactional
good books for 14 16 year olds,650,0.03,0.72,0,informational
notes online free,600,0.32,0.06,42,informational
notebook price 200 pages,590,0.01,0.95,0,commercial
picture story books pdf,581,1.33,0.09,9,informational
english story book to improve english,529,0.34,0.38,6,informational
short story books,518,0.22,0.57,13,informational
dp for book lovers,480,,0,0,informational
meesho books combo,480,0.01,0.02,0,informational
second hand books online in india,428,0.07,0.88,0,commercial
books meesho,390,0.09,0.05,0,informational
short novels in english for students,390,0.01,0.27,9,informational
level 1 reading books pdf free download,390,,,2,transactional
best novels to read romantic,356,0.02,0.32,16,informational
best website to buy books at low price,320,0.08,0.92,,commercial
second hand books online cash on delivery india,320,0.05,0.64,0,transactional
novels to read for students,320,0.45,0.11,0,informational
story books to read online free pdf,320,0.02,0.03,55,informational
online reading,317,2.98,0.05,100,informational
top 10 books to read before you die,295,0.03,0.19,21,informational
free online reading,288,0.37,0.05,90,informational
best self-improvement books of all time,283,0.07,0.73,11,informational
english books for beginners pdf,272,0.89,0.03,0,informational
play books app,260,0.26,0.01,41,informational
books to read online for free in english,260,2.1,0.11,35,informational
book combo under 200,260,0.02,0.52,23,transactional
top 10 most life-changing books to read,259,0.02,0.68,7,informational
famous novels in india,259,0.04,0.05,0,informational
best books to read online for free,255,2.08,0.09,66,informational
books online buy,242,0.14,0.9,74,transactional
notes book price,240,0.01,0.92,0,commercial
books to write,240,0.15,0.24,0,informational
best novels to read for students,240,0.02,0.49,0,informational
play books online,210,1.25,0.03,54,informational
cheap notebooks stationery online,210,0.02,1,7,navigational
top 5 influential self-help books,209,0.03,0.65,24,informational
novels to read for beginners,195,0.06,0.33,0,informational
google play books free,188,0.22,0.04,29,informational
english story books free download pdf,179,2,0.03,15,transactional
books notes,175,0.09,0.42,32,informational
fiction books to read for teens,170,0.03,0.18,27,informational
notebook price 100 pages,170,,0.94,0,commercial
famous novels to read,170,0.09,0.25,34,informational
best books to read self development,168,0.04,0.74,27,informational
wholesale notebooks online,159,0.03,0.95,0,commercial
best novels to read in india,145,0.05,0.44,0,informational
10 best novels of all time,140,0.01,0.06,35,informational
play books login,140,,0,,navigational
novels to read for adults,140,0.92,0.49,,informational
100 best novels of all time,140,1.47,0.01,79,informational
self-improvement books for young adults,139,0.01,0.66,,informational
english story book to improve english pdf,130,1.14,0.03,0,transactional
best books story,113,0.03,0.46,20,informational
books dp for instagram,110,,0,,navigational
romance books to read for teens,110,,0.03,,informational
google play books upload,110,0.91,0.03,46,navigational
study books dp for whatsapp,110,,0,6,transactional
books to read novels,105,0.04,0.49,21,informational
best novels to read about life,105,0.23,0.84,,informational
best novels in english for beginners,105,0.02,0.37,0,informational
story books pdf free download,102,2.55,0.06,23,informational
best novels of the 21st century,101,0.86,0.06,11,informational
free online books to read for adults romance,90,0.26,0.05,,informational
free books to read on my phone,90,0.71,0.08,,informational
apps to buy books at cheap price,90,0.03,0.98,,commercial
book dp new,90,,0,,informational
online notebook for students,90,0.01,0.12,15,informational
famous english novels in india,90,,0.01,,informational
best life-changing books to read before you die,89,0.01,0.42,,informational
best online book shopping app,70,0.08,0.85,,commercial
creative writing book pdf,70,0.02,0.06,44,informational
book notes stickers,70,0.01,0.9,15,transactional
top 10 best books to read in life,70,0.02,0.63,,informational
books to read self improvement,57,0.09,0.8,6,informational
google play books download pdf,57,0.33,0.07,,transactional
self-help books combo meesho,55,0.01,0.7,,commercial
buy books online second hand,50,0.05,0.58,35,transactional
famous novels in english literature,47,,0.04,,informational
best self-improvement books of all time pdf,45,,0.08,,informational
novels to read in urdu,45,,0.01,,informational
best books to read self-development,42,0.04,0.74,1,informational
best books to read in life for self-improvement,35,0.02,0.92,,informational
top 10 self-help books of all time,23,0.07,0.28,17,informational
books to read online for teens,23,8.44,0.05,,informational
self-improvement books for men,21,0.03,0.85,18,informational
flipkart online book shopping,20,0.06,0.76,13,transactional
book dp for whatsapp,14,,0,0,navigational
best novels to read for teens,5,0.04,0.63,9,informational
romance books online read,5,0.67,0.03,33,informational
books novel,4,0.11,0.49,11,informational
books story,4,0.39,0.11,29,informational
best novels to read for beginners,3,0.03,0.71,0,informational
books story in english,3,2.95,0.11,2,informational
english short story books pdf,3,1.09,0.02,0,navigational
books online read free,1,2.36,0.06,66,informational
books online read,1,2.49,0.07,100,informational
best self-help books,1,0.03,0.79,10,informational
books story pdf,1,3.81,0.02,9,informational
best novels of all time list,1,0.03,0.18,58,informational
self-improvement books pdf,1,3.71,0.01,9,informational
online book shopping websites,1,0.4,0.78,81,commercial
best novels to read online,1,1.84,0.1,26,informational
